Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,,Butter,Milk,
,,Bread,Butter,Milk,Apple
,,Bread,,Milk,Apple
Wine,Chips,Bread,,Milk,
Wine,Chips,,Butter,Milk,Apple
Wine,Chips,,Butter,,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,,Butter,Milk,
,,,Butter,,Apple
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,Bread,,Milk,Apple
,Chips,Bread,,Milk,Apple
,,Bread,Butter,Milk,
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,,Apple
Wine,Chips,Bread,Butter,,
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
,Chips,Bread,Butter,Milk,Apple
